Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
chiloti-clasici-dama-mini-shorts-conte-day-by-day-rp1084,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084","<p>Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084.</p>
",,Apparel & Accessories > Clothing > Lingerie > Women's Underpants,variable,New,TRUE,Color,Nero,Size,102 (L),,,1009020550010012,0,,0,deny,manual,51,51,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-nero-main.jpg,g,,,TRUE,,,TRUE,,,active
chiloti-clasici-dama-mini-shorts-conte-day-by-day-rp1084,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084","<p>Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084.</p>
",,Apparel & Accessories > Clothing > Lingerie > Women's Underpants,variable,New,TRUE,Color,Nero,Size,98 (M),,,1009020550090012,0,,1,deny,manual,51,51,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-nero-main.jpg,g,,,TRUE,,,TRUE,,,active
chiloti-clasici-dama-mini-shorts-conte-day-by-day-rp1084,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084","<p>Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084.</p>
",,Apparel & Accessories > Clothing > Lingerie > Women's Underpants,variable,New,TRUE,Color,Nero,Size,94 (S),,,1009020550080012,0,,1,deny,manual,51,51,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-nero-main.jpg,g,,,TRUE,,,TRUE,,,active
chiloti-clasici-dama-mini-shorts-conte-day-by-day-rp1084,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084","<p>Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084.</p>
",,Apparel & Accessories > Clothing > Lingerie > Women's Underpants,variable,New,TRUE,Color,Piele,Size,102 (L),,,1009020550010010,0,,0,deny,manual,51,51,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-nude-fata.jpg,g,,,TRUE,,,TRUE,,,active
chiloti-clasici-dama-mini-shorts-conte-day-by-day-rp1084,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084","<p>Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084.</p>
",,Apparel & Accessories > Clothing > Lingerie > Women's Underpants,variable,New,TRUE,Color,Piele,Size,98 (M),,,1009020550090010,0,,0,deny,manual,51,51,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-nude-fata.jpg,g,,,TRUE,,,TRUE,,,active
chiloti-clasici-dama-mini-shorts-conte-day-by-day-rp1084,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084","<p>Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084.</p>
",,Apparel & Accessories > Clothing > Lingerie > Women's Underpants,variable,New,TRUE,Color,Piele,Size,94 (S),,,1009020550080010,0,,0,deny,manual,51,51,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-nude-fata.jpg,g,,,TRUE,,,TRUE,,,active
chiloti-clasici-dama-mini-shorts-conte-day-by-day-rp1084,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084","<p>Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084.</p>
",,Apparel & Accessories > Clothing > Lingerie > Women's Underpants,variable,New,TRUE,Color,Pastel,Size,102 (L),,,1009020550010788,0,,0,deny,manual,51,51,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-pastel-fata.jpg,g,,,TRUE,,,TRUE,,,active
chiloti-clasici-dama-mini-shorts-conte-day-by-day-rp1084,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084","<p>Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084.</p>
",,Apparel & Accessories > Clothing > Lingerie > Women's Underpants,variable,New,TRUE,Color,Pastel,Size,98 (M),,,1009020550090788,0,,3,deny,manual,51,51,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-pastel-fata.jpg,g,,,TRUE,,,TRUE,,,active
chiloti-clasici-dama-mini-shorts-conte-day-by-day-rp1084,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084","<p>Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084.</p>
",,Apparel & Accessories > Clothing > Lingerie > Women's Underpants,variable,New,TRUE,Color,Pastel,Size,94 (S),,,1009020550080788,0,,3,deny,manual,51,51,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-pastel-fata.jpg,g,,,TRUE,,,TRUE,,,active
chiloti-clasici-dama-mini-shorts-conte-day-by-day-rp1084,"Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084","<p>Chiloți clasici damă ""mini shorts"", Conte Day By Day RP1084.</p>
",,Apparel & Accessories > Clothing > Lingerie > Women's Underpants,variable,New,TRUE,Color,Pastel,Size,90 (XS),,,1009020550070788,0,,2,deny,manual,51,51,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,https://conteelegant.ro/wp-content/uploads/2025/01/Chiloti-clasici-dama-mini-shorts-Conte-Day-By-Day-RP1084-pastel-fata.jpg,g,,,TRUE,,,TRUE,,,active
