"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / Condition","Google Shopping / Custom Product","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Included / United States","Price / United States","Compare At Price / United States","Included / International","Price / International","Compare At Price / International","Status"
"colanti-grosi-ajour-din-micromodal-cu-efect-3d-conte-elegant-art","Colanți groși ajour din micromodal cu efect 3D , Conte Elegant Art","","","Colanți Damă","variable","","TRUE","Color","Nero","Size","4-L Standard","","","1001230010030003",0,"",0,"deny","manual","42","42","TRUE","TRUE","","","","","FALSE","","","","","","","new","TRUE","https://conteelegant.ro/wp-content/uploads/2020/06/Colanți-groși-ajour-din-micromodal-cu-efect-3D-Conte-Elegant-Art-Negru.jpg","g","","","TRUE","","","TRUE","","","active"
"colanti-grosi-ajour-din-micromodal-cu-efect-3d-conte-elegant-art","Colanți groși ajour din micromodal cu efect 3D , Conte Elegant Art","","","Colanți Damă","variable","","TRUE","Color","Chocolate","Size","4-L Standard","","","1001230010030316",0,"",0,"deny","manual","42","42","TRUE","TRUE","","","","","FALSE","","","","","","","new","TRUE","https://conteelegant.ro/wp-content/uploads/2020/06/Colanți-groși-ajour-din-micromodal-cu-efect-3D-Conte-Elegant-Art-Chocolate.jpg","g","","","TRUE","","","TRUE","","","active"
"colanti-grosi-ajour-din-micromodal-cu-efect-3d-conte-elegant-art","Colanți groși ajour din micromodal cu efect 3D , Conte Elegant Art","","","Colanți Damă","variable","","TRUE","Color","Chocolate","Size","3-M Standard","","","1001230010020316",0,"",0,"deny","manual","42","42","TRUE","TRUE","","","","","FALSE","","","","","","","new","TRUE","https://conteelegant.ro/wp-content/uploads/2020/06/Colanți-groși-ajour-din-micromodal-cu-efect-3D-Conte-Elegant-Art-Chocolate.jpg","g","","","TRUE","","","TRUE","","","active"
"colanti-grosi-ajour-din-micromodal-cu-efect-3d-conte-elegant-art","Colanți groși ajour din micromodal cu efect 3D , Conte Elegant Art","","","Colanți Damă","variable","","TRUE","Color","Chocolate","Size","2-S Standard","","","1001230010010316",0,"",0,"deny","manual","42","42","TRUE","TRUE","","","","","FALSE","","","","","","","new","TRUE","https://conteelegant.ro/wp-content/uploads/2020/06/Colanți-groși-ajour-din-micromodal-cu-efect-3D-Conte-Elegant-Art-Chocolate.jpg","g","","","TRUE","","","TRUE","","","active"
"colanti-grosi-ajour-din-micromodal-cu-efect-3d-conte-elegant-art","Colanți groși ajour din micromodal cu efect 3D , Conte Elegant Art","","","Colanți Damă","variable","","TRUE","Color","Bianco","Size","4-L Standard","","","1001230010030006",0,"",0,"deny","manual","42","42","TRUE","TRUE","","","","","FALSE","","","","","","","new","TRUE","https://conteelegant.ro/wp-content/uploads/2020/06/Colanți-groși-ajour-din-micromodal-cu-efect-3D-Conte-Elegant-Art-Alb.jpg","g","","","TRUE","","","TRUE","","","active"
"colanti-grosi-ajour-din-micromodal-cu-efect-3d-conte-elegant-art","Colanți groși ajour din micromodal cu efect 3D , Conte Elegant Art","","","Colanți Damă","variable","","TRUE","Color","Bianco","Size","2-S Standard","","","1001230010010006",0,"",0,"deny","manual","42","42","TRUE","TRUE","","","","","FALSE","","","","","","","new","TRUE","https://conteelegant.ro/wp-content/uploads/2020/06/Colanți-groși-ajour-din-micromodal-cu-efect-3D-Conte-Elegant-Art-Alb.jpg","g","","","TRUE","","","TRUE","","","active"
"sosete-subtiri-din-poliamida-cu-model-buline-fantasy-16124","Șosete subțiri din poliamidă cu model buline, Conte Elegant Fantasy 16124","<p>Șosete subțiri și transparente din poliamidă cu model buline, Conte Elegant Fantasy 16124. Mărime universală 36-39</p>
","","Femei","variable","Sosete poliamida dama Fantasy","TRUE","Color","","Size","","","","",40,"",0,"deny","manual","16","","TRUE","TRUE","","https://conteelegant.ro/wp-content/uploads/2020/06/Șosete-subțiri-din-poliamidă-cu-model-buline-Conte-Elegant-Fantasy-16124-Model-violet.jpg",1,"Șosete subțiri din poliamidă cu model buline, Conte Elegant Fantasy 16124 Model violet","FALSE","","","","","","","new","TRUE","","g","","","TRUE","","","TRUE","","","active"
"sosete-subtiri-din-poliamida-cu-model-buline-fantasy-16124","Șosete subțiri din poliamidă cu model buline, Conte Elegant Fantasy 16124","<p>Șosete subțiri și transparente din poliamidă cu model buline, Conte Elegant Fantasy 16124. Mărime universală 36-39</p>
","","Femei","variable","Sosete poliamida dama Fantasy","TRUE","Color","Violet","Size","36-39 (23-25)","","","1001290060030239",40,"",0,"deny","manual","16","16","TRUE","TRUE","","","","","FALSE","","","","","","","new","TRUE","https://conteelegant.ro/wp-content/uploads/2020/06/Șosete-subțiri-din-poliamidă-cu-model-buline-Conte-Elegant-Fantasy-16124-violet.jpg","g","","","TRUE","","","TRUE","","","active"
"sosete-subtiri-din-poliamida-cu-model-buline-fantasy-16124","Șosete subțiri din poliamidă cu model buline, Conte Elegant Fantasy 16124","<p>Șosete subțiri și transparente din poliamidă cu model buline, Conte Elegant Fantasy 16124. Mărime universală 36-39</p>
","","Femei","variable","Sosete poliamida dama Fantasy","TRUE","Color","Blue","Size","36-39 (23-25)","","","1001290060030761",40,"",59,"deny","manual","16","16","TRUE","TRUE","","","","","FALSE","","","","","","","new","TRUE","https://conteelegant.ro/wp-content/uploads/2020/06/Șosete-subțiri-din-poliamidă-cu-model-buline-Conte-Elegant-Fantasy-16124-bleu-deschis.jpg","g","","","TRUE","","","TRUE","","","active"
"sosete-subtiri-din-poliamida-cu-model-buline-fantasy-16124","Șosete subțiri din poliamidă cu model buline, Conte Elegant Fantasy 16124","<p>Șosete subțiri și transparente din poliamidă cu model buline, Conte Elegant Fantasy 16124. Mărime universală 36-39</p>
","","Femei","variable","Sosete poliamida dama Fantasy","TRUE","Color","Bronz","Size","36-39 (23-25)","","","1001290060030002",40,"",59,"deny","manual","16","16","TRUE","TRUE","","","","","FALSE","","","","","","","new","TRUE","https://conteelegant.ro/wp-content/uploads/2019/12/Șosete-subțiri-din-poliamidă-cu-model-buline-Conte-Elegant-Fantasy-16124-bronz.jpg","g","","","TRUE","","","TRUE","","","active"
"sosete-subtiri-din-poliamida-cu-model-buline-fantasy-16124","Șosete subțiri din poliamidă cu model buline, Conte Elegant Fantasy 16124","<p>Șosete subțiri și transparente din poliamidă cu model buline, Conte Elegant Fantasy 16124. Mărime universală 36-39</p>
","","Femei","variable","Sosete poliamida dama Fantasy","TRUE","Color","Roz deschis","Size","36-39 (23-25)","","","1001290060030746",40,"",58,"deny","manual","16","16","TRUE","TRUE","","","","","FALSE","","","","","","","new","TRUE","https://conteelegant.ro/wp-content/uploads/2019/12/Șosete-subțiri-din-poliamidă-cu-model-buline-Conte-Elegant-Fantasy-16124-roz.jpg","g","","","TRUE","","","TRUE","","","active"
"sosete-subtiri-din-poliamida-cu-model-buline-fantasy-16124","Șosete subțiri din poliamidă cu model buline, Conte Elegant Fantasy 16124","<p>Șosete subțiri și transparente din poliamidă cu model buline, Conte Elegant Fantasy 16124. Mărime universală 36-39</p>
","","Femei","variable","Sosete poliamida dama Fantasy","TRUE","Color","Turcoaz","Size","36-39 (23-25)","","","1001290060030745",40,"",0,"deny","manual","16","16","TRUE","TRUE","","","","","FALSE","","","","","","","new","TRUE","https://conteelegant.ro/wp-content/uploads/2019/12/Șosete-subțiri-din-poliamidă-cu-model-buline-Conte-Elegant-Fantasy-16124-Turcuaz.jpg","g","","","TRUE","","","TRUE","","","active"
"sosete-subtiri-din-poliamida-cu-model-buline-fantasy-16124","Șosete subțiri din poliamidă cu model buline, Conte Elegant Fantasy 16124","<p>Șosete subțiri și transparente din poliamidă cu model buline, Conte Elegant Fantasy 16124. Mărime universală 36-39</p>
","","Femei","variable","Sosete poliamida dama Fantasy","TRUE","Color","Marino","Size","36-39 (23-25)","","","1001290060030054",40,"",23,"deny","manual","16","16","TRUE","TRUE","","","","","FALSE","","","","","","","new","TRUE","https://conteelegant.ro/wp-content/uploads/2019/12/Șosete-subțiri-din-poliamidă-cu-model-buline-Conte-Elegant-Fantasy-16124-Marino.jpg","g","","","TRUE","","","TRUE","","","active"
